plot_id,Plot,Plot-T,Plant Ht,Ear Ht,Number Of Ears,Stalk Diam Major,Stalk DiamMinimum,No Brace Root Whorls Emerged,Hybrid,Density,Rep,PlantNumber
22.1.19716.72.2,72,10,210,100,2,28,22,3,LH82 / DK3IIH6,18,4,2
22.1.19716.72.3,72,10,196,100,2,25,20,2,LH82 / DK3IIH6,18,4,3
22.1.19716.72.4,72,10,213,93,1,24,22,2,LH82 / DK3IIH6,18,4,4
22.1.19716.72.5,72,10,204,99,1,21,19,2,LH82 / DK3IIH6,18,4,5
22.1.19716.72.6,72,10,212,106,1,21,19,2,LH82 / DK3IIH6,18,4,6
22.1.19716.72.7,72,10,206,110,2,24,21,2,LH82 / DK3IIH6,18,4,7
22.1.19716.72.8,72,10,210,104,1,19,17,2,LH82 / DK3IIH6,18,4,8
22.1.19716.72.9,72,10,209,102,1,25,21,1,LH82 / DK3IIH6,18,4,9
22.1.19716.72.10,72,10,205,111,1,22,20,1,LH82 / DK3IIH6,18,4,10
22.1.19716.72.11,72,10,212,109,1,21,18,2,LH82 / DK3IIH6,18,4,11
22.1.19716.72.12,72,10,214,108,1,23,21,2,LH82 / DK3IIH6,18,4,12
22.1.19716.72.13,72,10,200,108,1,24,21,2,LH82 / DK3IIH6,18,4,13
22.1.19716.72.14,72,10,208,93,1,24,21,2,LH82 / DK3IIH6,18,4,14
22.1.19716.72.15,72,10,201,105,1,21,19,1,LH82 / DK3IIH6,18,4,15
22.1.19716.72.16,72,10,207,93,1,25,22,2,LH82 / DK3IIH6,18,4,16
22.1.19716.72.17,72,10,203,91,2,29,22,2,LH82 / DK3IIH6,18,4,17
22.1.19716.72.18,72,10,196,103,2,30,25,1,LH82 / DK3IIH6,18,4,18
22.1.19716.64.1,64,6,201,88,1,31,23,3,LH82 / DK3IIH6,24,1,1
22.1.19716.64.2,64,6,212,83,1,27,24,2,LH82 / DK3IIH6,24,1,2
22.1.19716.64.3,64,6,119,110,2,22,19,2,LH82 / DK3IIH6,24,1,3
22.1.19716.64.4,64,6,204,109,2,23,20,2,LH82 / DK3IIH6,24,1,4
22.1.19716.64.5,64,6,197,94,1,20,18,1,LH82 / DK3IIH6,24,1,5
22.1.19716.64.6,64,6,201,102,1,17,16,0,LH82 / DK3IIH6,24,1,6
22.1.19716.64.7,64,6,204,108,1,22,20,2,LH82 / DK3IIH6,24,1,7
22.1.19716.64.8,64,6,214,111,1,26,23,1,LH82 / DK3IIH6,24,1,8
22.1.19716.64.9,64,6,203,112,1,20,18,1,LH82 / DK3IIH6,24,1,9
22.1.19716.64.10,64,6,209,100,1,25,20,2,LH82 / DK3IIH6,24,1,10
22.1.19716.64.11,64,6,198,116,1,16,13,1,LH82 / DK3IIH6,24,1,11
22.1.19716.64.12,64,6,207,110,1,22,21,1,LH82 / DK3IIH6,24,1,12
22.1.19716.64.13,64,6,207,112,2,24,19,2,LH82 / DK3IIH6,24,1,13
22.1.19716.64.14,64,6,204,117,1,21,17,1,LH82 / DK3IIH6,24,1,14
22.1.19716.64.15,64,6,212,124,2,21,18,1,LH82 / DK3IIH6,24,1,15
22.1.19716.64.16,64,6,202,110,1,23,21,1,LH82 / DK3IIH6,24,1,16
22.1.19716.64.17,64,6,204,109,1,21,18,1,LH82 / DK3IIH6,24,1,17
22.1.19716.64.18,64,6,204,105,1,20,17,1,LH82 / DK3IIH6,24,1,18
22.1.19716.64.19,64,6,205,108,1,20,19,2,LH82 / DK3IIH6,24,1,19
22.1.19716.64.20,64,6,223,111,1,28,22,1,LH82 / DK3IIH6,24,1,20
22.1.19716.64.21,64,6,210,112,2,23,18,2,LH82 / DK3IIH6,24,1,21
22.1.19716.64.22,64,6,209,115,2,26,20,1,LH82 / DK3IIH6,24,1,22
22.1.19716.64.23,64,6,206,114,1,,,1,LH82 / DK3IIH6,24,1,23
22.1.19716.64.24,64,6,,,2,22,17,,LH82 / DK3IIH6,24,1,24
22.1.19716.100.1,100,24,197,101,2,29,22,1,LH82 / DK3IIH6,24,2,1
22.1.19716.100.2,100,24,204,93,2,28,21,2,LH82 / DK3IIH6,24,2,2
22.1.19716.100.3,100,24,200,107,2,22,21,2,LH82 / DK3IIH6,24,2,3
22.1.19716.100.4,100,24,207,98,2,25,20,2,LH82 / DK3IIH6,24,2,4
22.1.19716.100.5,100,24,199,99,2,26,21,2,LH82 / DK3IIH6,24,2,5
22.1.19716.100.6,100,24,195,102,1,21,19,1,LH82 / DK3IIH6,24,2,6
22.1.19716.100.7,100,24,207,113,2,25,21,2,LH82 / DK3IIH6,24,2,7
22.1.19716.100.8,100,24,210,105,2,26,23,2,LH82 / DK3IIH6,24,2,8
22.1.19716.100.9,100,24,214,111,1,24,17,1,LH82 / DK3IIH6,24,2,9
22.1.19716.100.10,100,24,212,104,1,20,17,1,LH82 / DK3IIH6,24,2,10
22.1.19716.100.11,100,24,218,113,2,24,20,1,LH82 / DK3IIH6,24,2,11
22.1.19716.100.12,100,24,209,101,1,26,20,1,LH82 / DK3IIH6,24,2,12
22.1.19716.100.13,100,24,202,112,2,19,16,1,LH82 / DK3IIH6,24,2,13
22.1.19716.100.14,100,24,209,105,1,26,21,1,LH82 / DK3IIH6,24,2,14
22.1.19716.100.15,100,24,207,100,1,23,18,1,LH82 / DK3IIH6,24,2,15
22.1.19716.100.16,100,24,165,66,1,22,15,1,LH82 / DK3IIH6,24,2,16
22.1.19716.100.17,100,24,209,99,2,25,21,2,LH82 / DK3IIH6,24,2,17
22.1.19716.100.18,100,24,209,98,1,24,19,2,LH82 / DK3IIH6,24,2,18
22.1.19716.100.19,100,24,195,107,2,21,18,1,LH82 / DK3IIH6,24,2,19
22.1.19716.100.20,100,24,207,98,1,23,19,2,LH82 / DK3IIH6,24,2,20
22.1.19716.100.21,100,24,202,110,2,22,18,2,LH82 / DK3IIH6,24,2,21
22.1.19716.100.22,100,24,197,97,2,26,22,2,LH82 / DK3IIH6,24,2,22
22.1.19716.100.23,100,24,191,81,2,34,31,,LH82 / DK3IIH6,24,2,23
22.1.19716.116.1,116,32,209,111,2,28,22,2,LH82 / DK3IIH6,24,3,1
22.1.19716.116.2,116,32,216,108,2,33,26,2,LH82 / DK3IIH6,24,3,2
22.1.19716.116.3,116,32,206,89,2,29,21,1,LH82 / DK3IIH6,24,3,3
22.1.19716.116.4,116,32,206,110,2,26,20,2,LH82 / DK3IIH6,24,3,4
22.1.19716.116.5,116,32,197,107,1,21,18,1,LH82 / DK3IIH6,24,3,5
22.1.19716.116.6,116,32,209,95,1,25,19,2,LH82 / DK3IIH6,24,3,6
22.1.19716.116.7,116,32,202,113,1,16,14,1,LH82 / DK3IIH6,24,3,7
22.1.19716.116.8,116,32,208,108,1,21,17,1,LH82 / DK3IIH6,24,3,8
22.1.19716.116.9,116,32,215,95,1,26,20,2,LH82 / DK3IIH6,24,3,9
22.1.19716.116.10,116,32,195,98,1,23,18,2,LH82 / DK3IIH6,24,3,10
22.1.19716.116.11,116,32,207,119,1,17,15,1,LH82 / DK3IIH6,24,3,11
22.1.19716.116.12,116,32,204,110,1,21,20,1,LH82 / DK3IIH6,24,3,12
22.1.19716.116.13,116,32,196,105,1,20,18,1,LH82 / DK3IIH6,24,3,13
22.1.19716.116.14,116,32,200,101,1,24,20,2,LH82 / DK3IIH6,24,3,14
22.1.19716.116.15,116,32,198,114,1,17,15,2,LH82 / DK3IIH6,24,3,15
22.1.19716.116.16,116,32,198,109,1,19,17,1,LH82 / DK3IIH6,24,3,16
22.1.19716.116.17,116,32,206,98,1,20,17,1,LH82 / DK3IIH6,24,3,17
22.1.19716.116.18,116,32,198,110,1,19,18,2,LH82 / DK3IIH6,24,3,18
22.1.19716.116.19,116,32,205,115,1,21,19,2,LH82 / DK3IIH6,24,3,19
22.1.19716.116.20,116,32,188,98,1,20,16,1,LH82 / DK3IIH6,24,3,20
22.1.19716.116.21,116,32,197,100,1,22,18,1,LH82 / DK3IIH6,24,3,21
22.1.19716.116.22,116,32,192,112,2,23,18,1,LH82 / DK3IIH6,24,3,22
22.1.19716.116.23,116,32,200,101,2,24,20,2,LH82 / DK3IIH6,24,3,23
22.1.19716.116.24,116,32,205,96,2,33,24,2,LH82 / DK3IIH6,24,3,24
22.1.19716.76.1,76,12,204,110,2,30,22,2,LH82 / DK3IIH6,24,4,1
22.1.19716.76.2,76,12,211,111,2,30,28,2,LH82 / DK3IIH6,24,4,2
22.1.19716.76.3,76,12,221,120,2,28,23,2,LH82 / DK3IIH6,24,4,3
22.1.19716.76.4,76,12,211,113,2,26,21,2,LH82 / DK3IIH6,24,4,4
22.1.19716.76.5,76,12,218,112,1,23,21,2,LH82 / DK3IIH6,24,4,5
22.1.19716.76.6,76,12,213,100,1,24,21,2,LH82 / DK3IIH6,24,4,6
22.1.19716.76.7,76,12,216,101,1,28,19,2,LH82 / DK3IIH6,24,4,7
22.1.19716.76.8,76,12,213,87,1,22,19,2,LH82 / DK3IIH6,24,4,8
22.1.19716.76.9,76,12,213,114,2,24,21,1,LH82 / DK3IIH6,24,4,9
22.1.19716.76.10,76,12,221,121,1,23,20,1,LH82 / DK3IIH6,24,4,10
22.1.19716.76.11,76,12,214,106,1,24,21,2,LH82 / DK3IIH6,24,4,11
22.1.19716.76.12,76,12,208,115,2,25,20,2,LH82 / DK3IIH6,24,4,12
22.1.19716.76.13,76,12,210,108,1,24,22,1,LH82 / DK3IIH6,24,4,13
22.1.19716.76.14,76,12,207,128,1,19,18,1,LH82 / DK3IIH6,24,4,14
22.1.19716.76.15,76,12,208,117,1,24,22,1,LH82 / DK3IIH6,24,4,15
22.1.19716.76.16,76,12,197,119,1,18,16,2,LH82 / DK3IIH6,24,4,16
22.1.19716.76.17,76,12,207,114,1,21,20,1,LH82 / DK3IIH6,24,4,17
22.1.19716.76.18,76,12,204,110,1,24,22,2,LH82 / DK3IIH6,24,4,18
22.1.19716.76.19,76,12,207,113,2,26,20,2,LH82 / DK3IIH6,24,4,19
22.1.19716.76.20,76,12,209,99,1,26,21,2,LH82 / DK3IIH6,24,4,20
22.1.19716.76.21,76,12,195,103,1,19,17,2,LH82 / DK3IIH6,24,4,21
22.1.19716.76.22,76,12,211,94,1,24,22,1,LH82 / DK3IIH6,24,4,22
22.1.19716.76.23,76,12,198,97,1,23,18,2,LH82 / DK3IIH6,24,4,23
22.1.19716.76.24,76,12,193,107,2,27,21,2,LH82 / DK3IIH6,24,4,24
22.1.19716.87.1,87,17,184,64,2,33,24,3,LH82 / PHP02,6,1,1
22.1.19716.87.2,87,17,191,84,2,35,26,3,LH82 / PHP02,6,1,2
22.1.19716.87.3,87,17,188,84,2,38,26,3,LH82 / PHP02,6,1,3
22.1.19716.87.4,87,17,183,85,2,37,26,3,LH82 / PHP02,6,1,4
22.1.19716.87.5,87,17,193,88,2,33,25,2,LH82 / PHP02,6,1,5
22.1.19716.87.6,87,17,184,81,2,37,21,3,LH82 / PHP02,6,1,6
22.1.19716.67.1,67,7,187,85,2,32,24,3,LH82 / PHP02,6,2,1
