Year,Location,Experiment,Genotype,Species,PlantID-ReplicateNumber,Plot,Replicate,Test_Type,Tester_Name,Planting_Date,Testing_Date,DAP,force_N,raw_data_file,Additional_Notes,line_raw_slope_N.m
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-9,229,9,A,jr,6/26/20,8/23/20,58,44.54,229_9_08_23_2020_11_32_20.xls,NA,4521.15475
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,230-1,230,1,A,jr,6/26/20,8/23/20,58,33.35,230_1_08_23_2020_11_33_32.xls,NA,5164.54911
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,230-10,230,10,A,jr,6/26/20,8/23/20,58,46.79,230_10_08_23_2020_11_43_48.xls,NA,4946.35686
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,230-2,230,2,A,jr,6/26/20,8/23/20,58,45.91,230_2_08_23_2020_11_34_40.xls,NA,5557.69398
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,230-3,230,3,A,jr,6/26/20,8/23/20,58,32.27,230_3_08_23_2020_11_35_42.xls,NA,4293.01101
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,230-4,230,4,A,jr,6/26/20,8/23/20,58,41.3,230_4_08_23_2020_11_36_49.xls,NA,4759.76286
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,230-5,230,5,A,jr,6/26/20,8/23/20,58,39.14,230_5_08_23_2020_11_37_59.xls,NA,4356.40223
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,230-6,230,6,A,jr,6/26/20,8/23/20,58,39.04,230_6_08_23_2020_11_39_15.xls,NA,4870.1942
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,230-7,230,7,A,jr,6/26/20,8/23/20,58,35.32,230_7_08_23_2020_11_40_19.xls,NA,4532.86914
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,230-8,230,8,A,jr,6/26/20,8/23/20,58,34.63,230_8_08_23_2020_11_41_31.xls,NA,5212.87575
2020,Newark,Lodging Hybrids,LH82 x PHP02,Maize,230-9,230,9,A,jr,6/26/20,8/23/20,58,48.76,230_9_08_23_2020_11_42_38.xls,NA,5622.36478
2020,Newark,Lodging Hybrids,LH198 x PHN46,Maize,239-1,239,1,A,jr,6/26/20,8/23/20,58,55.82,239_1_08_23_2020_11_44_58.xls,NA,7549.7766
2020,Newark,Lodging Hybrids,LH198 x PHN46,Maize,239-2,239,2,A,jr,6/26/20,8/23/20,58,70.34,239_2_08_23_2020_11_46_22.xls,NA,9143.23789
2020,Newark,Lodging Hybrids,LH198 x PHN46,Maize,239-3,239,3,A,jr,6/26/20,8/24/20,59,57.19,239_3_08_24_2020_10_58_50.xls,NA,7743.74554
2020,Newark,Lodging Hybrids,LH198 x PHN46,Maize,239-4,239,4,A,jr,6/26/20,8/24/20,59,41.4,239_4_08_24_2020_11_00_01.xls,NA,6892.39903
2020,Newark,Lodging Hybrids,LH198 x PHN46,Maize,239-5,239,5,A,jr,6/26/20,8/24/20,59,53.96,239_5_08_24_2020_11_01_29.xls,NA,7919.0424
2020,Newark,Lodging Hybrids,LH198 x PHN46,Maize,239-7,239,7,A,jr,6/26/20,8/24/20,59,66.9,239_7_08_24_2020_11_03_28.xls,look at pictures,7386.75394
2020,Newark,Lodging Hybrids,LH145 x DK3IIH6,Maize,225-1,225,1,A,jr,6/26/20,9/25/20,91,57.68,225-1_09_25_2020_12_35_06.xls,NA,7668.57039
2020,Newark,Lodging Hybrids,LH145 x DK3IIH6,Maize,225-1,225,1,B,jr,6/26/20,9/25/20,91,34.43,225-1_09_25_2020_12_35_42.xls,1WR,4904.10821
2020,Newark,Lodging Hybrids,LH145 x DK3IIH6,Maize,225-2,225,2,A,jr,6/26/20,9/25/20,91,52.48,225-2_09_25_2020_12_33_19.xls,NA,6799.98088
2020,Newark,Lodging Hybrids,LH145 x DK3IIH6,Maize,225-2,225,2,B,jr,6/26/20,9/25/20,91,25.21,225-2_09_25_2020_12_33_56.xls,1WR,4006.04496
2020,Newark,Lodging Hybrids,LH145 x DK3IIH6,Maize,225-4,225,4,A,jr,6/26/20,9/25/20,91,61.51,225-4_09_25_2020_12_31_19.xls,NA,6784.65203
2020,Newark,Lodging Hybrids,LH145 x DK3IIH6,Maize,225-4,225,4,B,jr,6/26/20,9/25/20,91,27.37,225-4_09_25_2020_12_32_01.xls,1WR,4188.01613
2020,Newark,Lodging Hybrids,LH145 x DK3IIH6,Maize,225-6,225,6,A,jr,6/26/20,9/25/20,91,41.4,225-6_09_25_2020_12_29_15.xls,NA,4902.27751
2020,Newark,Lodging Hybrids,LH145 x DK3IIH6,Maize,225-6,225,6,B,jr,6/26/20,9/25/20,91,25.11,225-6_09_25_2020_12_29_48.xls,1 WR,3452.07497
2020,Newark,Lodging Hybrids,LH145 x DK3IIH6,Maize,225-7,225,7,A,jr,6/26/20,9/25/20,91,45.13,225-7_09_25_2020_12_26_51.xls,NA,5922.00316
2020,Newark,Lodging Hybrids,LH145 x DK3IIH6,Maize,225-7,225,7,B,jr,6/26/20,9/25/20,91,24.03,225-7_09_25_2020_12_27_45.xls,1 WR,3934.16784
2020,Newark,Lodging Hybrids,LH82 x DK3IIH6,Maize,226-2,226,2,A,jr,6/26/20,9/25/20,91,52.68,226-2_09_25_2020_12_37_01.xls,NA,6124.09291
2020,Newark,Lodging Hybrids,LH82 x DK3IIH6,Maize,226-2,226,2,B,jr,6/26/20,9/25/20,91,19.82,226-2_09_25_2020_12_37_58.xls,2WR,2518.89463
2020,Newark,Lodging Hybrids,LH82 x DK3IIH6,Maize,226-9,226,9,A,jr,6/26/20,9/25/20,91,46.11,226-9_09_25_2020_12_39_33.xls,NA,4860.43394
2020,Newark,Lodging Hybrids,LH82 x DK3IIH6,Maize,226-9,226,9,B,jr,6/26/20,9/25/20,91,14.91,226-9_09_25_2020_12_40_24.xls,2WR,2232.91956
2020,Newark,Lodging Hybrids,PHK76 x PHP02,Maize,228-1,228,1,A,jr,6/26/20,9/25/20,91,36.49,228-1_09_25_2020_13_28_51.xls,NA,2525.409
2020,Newark,Lodging Hybrids,PHK76 x PHP02,Maize,228-1,228,1,B,jr,6/26/20,9/25/20,91,11.97,228-1_09_25_2020_13_29_26.xls,1WR,3312.382
2020,Newark,Lodging Hybrids,PHK76 x PHP02,Maize,228-7,228,7,A,jr,6/26/20,9/25/20,91,23.64,228-7_09_25_2020_13_30_54.xls,NA,5115.268
2020,Newark,Lodging Hybrids,PHK76 x PHP02,Maize,228-7,228,7,B,JR,6/26/20,9/25/20,91,18.54,228-7_09_25_2020_13_34_36.xls,2WR,2377.92382
2020,Newark,Lodging Hybrids,PHK76 x PHP02,Maize,228-8,228,8,A,JR,6/26/20,9/25/20,91,42.77,228-8_09_25_2020_13_35_37.xls,NA,3899.7044
2020,Newark,Lodging Hybrids,PHK76 x PHP02,Maize,228-8,228,8,B,JR,6/26/20,9/25/20,91,20.7,228-8_09_25_2020_13_36_22.xls,1WR,4016.48847
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-1,229,1,A,JR,6/26/20,9/25/20,91,25.51,229-1_09_25_2020_15_22_51.xls,NA,2899.27502
2020,Newark,Lodging Hybrids,LH82 x PHK76,Maize,229-1,229,1,B,JR,6/26/20,9/25/20,91,11.18,229-1_09_25_2020_15_23_43.xls,2WR,2056.50828
