Year,Location,Experiment,Genotype,Species,PlantID_ReplicateNumber,Plot,Replicate,Test_Type,Tester_Name,Planting_Date,Testing_Date,Torsional_Stiffness_Nm/rad,raw_data_file,Additional_Notes,DAP
2021,Newark,55&Friends,Hickory King,Maize,1103_7,1103,7,A,JR,5/20/21,9/28/21,148.813,1103-7_09_28_2021_13_47_48.xls,NA,131
2021,Newark,55&Friends,Hickory King,Maize,1103_9,1103,9,A,JR,5/20/21,9/28/21,78.913,1103-9_09_28_2021_13_48_53.xls,NA,131
2021,Newark,55&Friends,2369,Maize,1105_3,1105,3,A,JR,5/20/21,9/28/21,42.306,1105-3_09_28_2021_13_44_42.xls,NA,131
2021,Newark,55&Friends,2369,Maize,1105_4,1105,4,A,JR,5/20/21,9/28/21,78.171,1105-4_09_28_2021_13_43_50.xls,NA,131
2021,Newark,55&Friends,CML52,Maize,1106_6,1106,6,A,JR,5/20/21,9/28/21,124.894,1106-6_09_28_2021_13_39_17.xls,NA,131
2021,Newark,55&Friends,CML52,Maize,1106_7,1106,7,A,JR,5/20/21,9/28/21,161.759,1106-7_09_28_2021_13_40_19.xls,NA,131
2021,Newark,55&Friends,6M502,Maize,1107_2,1107,2,A,JR,5/20/21,9/28/21,55.432,1107-2_09_28_2021_13_35_51.xls,NA,131
2021,Newark,55&Friends,6M502,Maize,1107_3,1107,3,A,JR,5/20/21,9/28/21,70.238,1107-3_09_28_2021_13_35_04.xls,NA,131
2021,Newark,55&Friends,B95,Maize,1108_5,1108,5,A,JR,5/20/21,9/28/21,77.793,1108-5_09_28_2021_13_30_54.xls,NA,131
2021,Newark,55&Friends,B95,Maize,1108_6,1108,6,A,JR,5/20/21,9/28/21,62.497,1108-6_09_28_2021_13_32_01.xls,NA,131
2021,Newark,55&Friends,Ms71,Maize,1109_5,1109,5,A,JR,5/20/21,9/28/21,65.227,1109-5_09_28_2021_13_26_39.xls,NA,131
2021,Newark,55&Friends,Ms71,Maize,1109_6,1109,6,A,JR,5/20/21,9/28/21,59.151,1109-6_09_28_2021_13_27_22.xls,NA,131
2021,Newark,55&Friends,CML103,Maize,1110_2,1110,2,A,JR,5/20/21,9/28/21,47.557,1110-2_09_28_2021_13_23_16.xls,NA,131
2021,Newark,55&Friends,CML103,Maize,1110_3,1110,3,A,JR,5/20/21,9/28/21,52.972,1110-3_09_28_2021_13_22_21.xls,NA,131
2021,Newark,55&Friends,CML103,Maize,1111_4,1111,4,A,JR,5/20/21,9/28/21,65.82,1111-4_09_28_2021_13_25_27.xls,NA,131
2021,Newark,55&Friends,CML103,Maize,1111_5,1111,5,A,JR,5/20/21,9/28/21,62.873,1111-5_09_28_2021_13_24_28.xls,NA,131
2021,Newark,55&Friends,Ms71,Maize,1112_4,1112,4,A,JR,5/20/21,9/28/21,57.128,1112-4_09_28_2021_13_28_50.xls,NA,131
2021,Newark,55&Friends,Ms71,Maize,1112_6,1112,6,A,JR,5/20/21,9/28/21,52.043,1112-6_09_28_2021_13_29_41.xls,NA,131
2021,Newark,55&Friends,B95,Maize,1113_5,1113,5,A,JR,5/20/21,9/28/21,81.119,1113-5_09_28_2021_13_32_58.xls,NA,131
2021,Newark,55&Friends,B95,Maize,1113_6,1113,6,A,JR,5/20/21,9/28/21,70.315,1113-6_09_28_2021_13_34_02.xls,NA,131
2021,Newark,55&Friends,6M502,Maize,1114_3,1114,3,A,JR,5/20/21,9/28/21,79.231,1114-3_09_28_2021_13_37_06.xls,NA,131
2021,Newark,55&Friends,6M502,Maize,1114_7,1114,7,A,JR,5/20/21,9/28/21,46.526,1114-7_09_28_2021_13_38_01.xls,NA,131
2021,Newark,55&Friends,CML52,Maize,1115_6,1115,6,A,JR,5/20/21,9/28/21,93.469,1115-6_09_28_2021_13_41_32.xls,NA,131
2021,Newark,55&Friends,CML52,Maize,1115_8,1115,8,A,JR,5/20/21,9/28/21,138.391,1115-8_09_28_2021_13_42_37.xls,NA,131
2021,Newark,55&Friends,2369,Maize,1116_5,1116,5,A,JR,5/20/21,9/28/21,37.61,1116-5_09_28_2021_13_45_39.xls,NA,131
2021,Newark,55&Friends,2369,Maize,1116_6,1116,6,A,JR,5/20/21,9/28/21,46.265,1116-6_09_28_2021_13_46_30.xls,NA,131
2021,Newark,55&Friends,Hickory King,Maize,1118_6,1118,6,A,JR,5/20/21,9/28/21,174.353,1118-6_09_28_2021_13_50_13.xls,NA,131
2021,Newark,55&Friends,Hickory King,Maize,1118_7,1118,7,A,JR,5/20/21,9/28/21,121.631,1118-7_09_28_2021_13_51_08.xls,NA,131
